Transaction ID,Date,Customer ID,Gender,Age,Product Category,Product Name,Quantity,Price per Unit,Total Amount,Region
100000,2023-04-13,C2000,Female,60.0,Clothing,Denim Jeans,1,2937,2937,South
100001,2024-03-11,C2001,Male,55.0,Clothing,Denim Jeans,1,2220,2220,North
100002,2023-09-28,C2002,Female,47.0,Home & Kitchen,LED Table Lamp,1,2151,2151,North
100003,2023-04-17,C2003,Female,18.0,Electronics,Power Bank,1,4110,4110,West
100004,2023-03-13,C2004,Female,36.0,Beauty,Lipstick Set,2,1261,2522,South
100005,2024-12-01,C2005,Female,36.0,Beauty,Sunscreen SPF50,1,972,972,North
100006,2023-01-21,C2006,Female,49.0,Electronics,Power Bank,1,4252,4252,West
100007,2024-09-06,C2007,Male,44.0,Beauty,Shampoo 500ml,1,1559,1559,North
100008,2023-05-02,C2008,Female,44.0,Home & Kitchen,Ceramic Mug Set,1,3827,3827,West
100009,2024-04-11,C2009,Female,33.0,Clothing,Denim Jeans,1,820,820,East
100010,2023-08-03,C2010,Female,19.0,Electronics,Smartwatch,1,3341,3341,South
100011,2023-11-27,C2011,Female,35.0,Electronics,Smartphone Case,1,11081,11081,South
100012,2024-04-03,C2012,Male,51.0,Beauty,Face Moisturizer,1,737,737,East
100013,2023-03-29,C2013,Male,51.0,Electronics,Power Bank,2,3828,7656,South
100014,2024-01-08,C2014,Male,18.0,Electronics,USB-C Cable,3,12768,38304,South
100015,2023-04-10,C2015,Female,40.0,Clothing,Winter Jacket,2,3154,6308,West
100016,2024-10-25,C2016,Male,27.0,Clothing,Formal Shirt,1,3683,3683,South
100017,2023-05-11,C2017,Male,35.0,Beauty,Lipstick Set,1,1674,1674,South
100018,2024-10-23,C2018,Male,44.0,Clothing,Sneakers,2,2389,4778,West
100019,2023-11-05,C2019,Female,27.0,Home & Kitchen,Non-stick Pan,1,4357,4357,West
100020,2023-12-10,C2020,Female,48.0,Home & Kitchen,Ceramic Mug Set,2,2671,5342,North
100021,2024-05-06,C2021,Male,45.0,Beauty,Lipstick Set,1,550,550,East
100022,2024-02-18,C2022,Female,46.0,Groceries,Instant Noodles Pack,2,932,1864,West
100023,2024-01-21,C2023,Female,33.0,Clothing,Women's Dress,1,3897,3897,North
100024,2023-07-11,C2024,Male,31.0,Electronics,Smartphone Case,2,14282,28564,South
100025,2023-10-04,C2025,Male,35.0,Beauty,Sunscreen SPF50,2,165,330,West
100026,2023-06-10,C2026,Male,29.0,Clothing,Denim Jeans,2,2761,5522,West
100027,2024-04-04,C2027,Male,20.0,Electronics,Smartwatch,1,14045,14045,North
100028,2023-11-10,C2028,Male,37.0,Clothing,Winter Jacket,4,565,2260,East
100029,2023-01-22,C2029,Male,18.0,Electronics,Power Bank,1,2833,2833,North
100030,2023-09-10,C2030,Male,23.0,Electronics,Wireless Earbuds,3,3432,10296,West
100031,2024-07-14,C2031,Female,30.0,Home & Kitchen,Ceramic Mug Set,1,1056,1056,West
100032,2024-04-19,C2032,Male,46.0,Clothing,Sneakers,4,2911,11644,North
100033,2023-02-28,C2033,Male,30.0,Home & Kitchen,LED Table Lamp,1,1074,1074,North
100034,2024-05-25,C2034,Female,29.0,Home & Kitchen,Ceramic Mug Set,1,976,976,East
100035,2024-11-12,C2035,Female,21.0,Home & Kitchen,Cotton Bedsheet Set,2,4319,8638,East
100036,2024-04-20,C2036,Male,18.0,Electronics,USB-C Cable,1,12673,12673,South
100037,2024-11-30,C2037,Male,26.0,Electronics,Smartphone Case,2,13608,27216,West
100038,2023-07-09,C2038,Male,31.0,Home & Kitchen,LED Table Lamp,1,1224,1224,South
100039,2024-11-17,C2039,Female,35.0,Groceries,Instant Noodles Pack,2,1022,2044,South
100040,2024-07-16,C2040,Male,41.0,Clothing,Sneakers,3,1646,4938,North
100041,2024-07-20,C2041,Female,54.0,Groceries,Green Tea Box,2,141,282,West
100042,2023-09-01,C2042,Female,49.0,Home & Kitchen,Cotton Bedsheet Set,1,1966,1966,North
100043,2024-05-19,C2043,Female,41.0,Groceries,Cooking Oil 1L,1,1104,1104,North
100044,2023-05-11,C2044,Female,34.0,Clothing,Formal Shirt,3,2429,7287,North
100045,2024-04-29,C2045,Female,48.0,Clothing,Formal Shirt,1,1556,1556,North
100046,2024-10-08,C2046,Male,33.0,Beauty,Sunscreen SPF50,2,1499,2998,West
100047,2023-01-21,C2047,Female,30.0,Clothing,Formal Shirt,2,577,1154,East
100048,2023-06-16,C2048,Female,26.0,Electronics,Bluetooth Speaker,1,9909,9909,North
100049,2023-10-01,C2049,Male,33.0,Home & Kitchen,Ceramic Mug Set,1,1012,1012,East
100050,2024-01-23,C2050,Female,27.0,Electronics,Bluetooth Speaker,2,12991,25982,South
100051,2024-08-23,C2051,Female,54.0,Groceries,Basmati Rice 5kg,1,88,88,West
100052,2023-11-12,C2052,Female,31.0,Clothing,Women's Dress,2,3455,6910,West
100053,2023-01-14,C2053,Male,21.0,Clothing,Denim Jeans,4,1982,7928,West
100054,2023-08-30,C2054,Male,34.0,Clothing,Winter Jacket,2,3533,7066,South
100055,2023-12-12,C2055,Male,31.0,Groceries,Green Tea Box,4,479,1916,North
100056,2024-07-18,C2056,Female,36.0,Electronics,Bluetooth Speaker,2,7142,14284,West
100057,2023-12-06,C2057,Male,41.0,Clothing,Formal Shirt,1,1559,1559,South
100058,2023-04-02,C2058,Male,18.0,Electronics,USB-C Cable,1,5909,5909,West
100059,2024-01-02,C2059,Male,55.0,Electronics,Power Bank,1,14431,14431,West
