TransactionID,Amount,Hour,TransactionsLast24h,DistanceFromHome,IsForeignTxn,IsOnline,Class
1,6.21,17,3,3.1,0,1,0
2,13.85,9,1,13.9,0,0,0
3,29.65,19,5,9.8,0,1,0
4,547.33,0,13,177.5,1,1,1
5,1.44,17,3,4.4,0,1,0
6,21.08,14,5,19.8,0,0,0
7,7.5,15,3,5.4,0,0,0
8,55.42,14,2,6.5,1,0,0
9,11.36,17,3,0.1,0,1,0
10,15.13,20,3,8.6,1,0,0
11,33.85,22,5,9.5,1,0,0
12,57.2,12,4,13.5,0,0,0
13,40.23,2,0,1.3,0,0,0
14,37.43,9,2,12.4,0,1,0
15,14.78,11,5,9.3,0,0,0
16,9.54,14,6,2.0,0,0,0
17,7.51,9,5,4.4,0,1,0
18,104.19,19,1,3.2,0,1,0
19,50.34,11,2,16.6,0,1,0
20,58.83,14,4,0.7,0,0,0
21,58.84,8,3,2.6,0,1,0
22,122.17,16,2,1.3,0,1,0
23,70.94,6,8,3.7,0,1,0
24,1.49,13,2,6.6,0,0,0
25,759.84,5,14,146.6,1,1,1
26,25.04,17,7,0.8,0,1,0
27,51.21,14,6,7.3,0,1,0
28,26.13,17,2,8.4,0,0,0
29,56.55,3,12,12.9,1,1,1
30,36.12,5,4,10.8,0,0,0
31,113.6,9,2,4.6,0,1,0
32,27.17,19,1,0.3,0,0,0
33,1.03,17,2,9.6,1,1,0
34,65.08,17,3,18.2,0,1,0
35,299.11,22,4,26.6,0,0,0
36,138.13,7,1,0.2,0,0,0
37,79.27,18,1,11.4,0,0,0
38,201.86,11,5,11.2,0,0,0
39,170.9,9,1,3.6,0,1,0
40,8.41,11,3,17.9,0,0,0
41,27.24,10,3,6.5,0,0,0
42,109.18,13,2,2.5,0,0,0
43,46.72,7,4,4.1,0,0,0
44,27.11,15,1,17.0,0,1,0
45,113.02,10,2,5.5,0,1,0
46,14.55,13,3,10.0,0,1,0
47,33.05,12,4,5.8,0,0,0
48,38.81,16,4,1.0,0,1,0
49,3.21,12,2,1.8,0,0,0
50,67.18,19,1,3.9,0,1,0
51,73.24,21,2,2.0,0,1,0
52,21.2,12,8,9.6,0,0,0
53,83.57,9,1,3.6,0,1,0
54,31.9,17,2,2.8,0,0,0
55,15.12,7,4,0.9,0,0,0
56,81.62,14,1,14.6,0,0,0
57,24.77,6,2,6.7,1,0,0
58,49.32,11,2,3.2,0,1,0
59,52.9,13,3,10.0,0,1,0
60,131.28,8,5,1.4,1,1,0
61,1.0,12,5,3.1,0,1,0
62,37.16,9,2,7.1,0,0,0
63,10.35,7,3,32.6,0,1,0
64,70.36,15,5,1.0,0,1,0
65,92.17,11,7,1.3,0,1,0
66,4.66,14,0,17.8,0,0,0
67,20.41,9,3,0.6,0,0,0
68,54.3,1,5,20.0,0,1,0
69,10.59,10,3,8.4,0,1,0
70,28.67,8,4,16.2,1,1,0
71,73.5,21,1,2.6,0,0,0
72,8.84,17,2,16.2,0,0,0
73,103.66,8,1,11.7,0,0,0
