fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.54,0.464,0.283,4.36,0.079,32.4,100.1,0.9946,3.43,0.431,8.55,4
7.97,0.419,0.505,10.81,0.062,48.7,84.1,0.99922,3.53,0.955,10.38,5
8.25,0.609,0.174,4.6,0.085,24.1,61.3,0.99311,3.61,0.39,8.33,4
5.98,0.699,0.307,0.56,0.01,43.3,74.6,0.99207,3.23,0.913,10.82,6
6.51,0.585,0.135,0.9,0.064,12.9,36.6,0.9991,3.41,0.716,10.81,6
5.92,0.432,0.0,1.06,0.126,22.9,58.5,0.999,3.0,0.784,10.04,5
6.11,0.609,0.53,0.77,0.092,38.3,68.5,0.99399,3.6,0.716,10.5,5
8.21,0.578,0.0,2.46,0.06,54.1,95.1,0.99633,3.09,0.412,10.91,5
7.48,0.282,0.227,0.61,0.101,21.3,104.7,0.99683,3.51,0.631,11.58,6
9.61,0.332,0.0,0.5,0.02,41.6,103.6,0.99653,3.46,0.643,10.07,5
9.33,0.1,0.405,0.5,0.106,19.5,58.3,0.99622,3.29,0.672,12.49,8
7.87,0.548,0.092,1.37,0.082,12.6,79.5,0.99232,3.36,0.612,9.07,5
7.35,0.424,0.403,1.59,0.127,32.7,65.7,0.998,3.54,0.803,12.5,7
6.41,0.624,0.523,1.04,0.019,31.8,58.4,0.9978,3.16,0.717,8.1,4
7.12,0.701,0.137,1.64,0.127,64.6,148.0,0.99397,3.28,0.806,9.93,4
10.12,0.745,0.16,3.43,0.015,30.7,106.1,0.99569,3.12,0.551,12.14,6
7.16,0.522,0.596,2.24,0.044,28.7,117.4,0.99706,3.6,0.596,10.81,6
6.42,0.402,0.032,2.97,0.143,16.5,60.1,0.9977,3.11,0.95,11.34,6
7.01,0.812,0.622,1.79,0.054,66.9,141.7,0.99614,3.24,0.944,11.57,6
7.01,0.795,0.174,0.51,0.064,56.9,110.0,0.99643,3.19,0.556,11.37,6
8.55,0.671,0.248,4.38,0.089,30.3,71.7,0.99735,3.58,0.762,8.84,4
8.19,0.359,0.384,2.3,0.084,33.6,83.5,0.99755,3.22,0.624,9.31,5
7.78,0.417,0.327,1.17,0.083,57.8,111.6,0.99446,3.27,0.52,10.3,5
7.8,0.5,0.292,3.18,0.077,35.4,116.8,0.99588,3.25,0.582,10.85,5
10.19,0.457,0.195,4.07,0.03,32.7,51.7,0.99659,3.44,0.569,10.86,6
7.3,0.405,0.397,0.5,0.054,42.3,92.8,0.99658,3.49,0.802,10.27,6
5.52,0.267,0.228,0.6,0.085,11.7,66.5,0.99409,3.33,0.599,10.06,5
8.95,0.487,0.114,1.8,0.014,52.6,121.7,0.9991,3.3,0.702,12.24,6
7.89,0.466,0.468,0.74,0.137,18.2,52.2,0.99755,3.25,0.792,10.76,5
10.02,0.243,0.522,1.67,0.086,4.2,59.1,0.9983,3.2,0.761,11.03,6
8.06,0.343,0.481,1.33,0.036,17.4,108.7,0.99602,3.21,0.782,10.25,5
6.92,0.276,0.315,1.39,0.037,20.5,80.2,0.99422,3.5,0.502,9.89,5
8.7,0.58,0.364,1.05,0.08,9.5,52.2,0.99579,3.52,0.695,10.98,5
6.72,0.693,0.432,0.5,0.033,48.4,70.9,0.99474,2.89,0.787,11.72,6
6.44,0.65,0.243,0.5,0.076,16.0,52.7,0.99355,3.18,0.589,11.95,6
4.59,0.673,0.38,0.5,0.025,23.3,82.8,0.99726,3.34,0.838,11.04,6
7.23,0.299,0.119,6.03,0.072,23.0,72.8,0.99811,3.41,0.55,8.87,5
8.07,0.715,0.405,1.94,0.103,50.8,103.5,0.99672,3.28,0.823,11.45,6
6.85,0.657,0.357,0.73,0.102,25.6,135.4,0.99459,3.41,0.777,8.61,4
6.97,0.332,0.358,1.44,0.053,46.4,120.8,0.99723,3.28,0.502,9.11,5
3.96,0.55,0.079,0.5,0.096,21.1,53.1,0.99791,3.44,0.503,9.73,5
5.98,1.004,0.487,1.43,0.074,57.4,68.7,0.99639,3.25,0.538,9.54,4
8.25,0.209,0.003,6.75,0.079,15.1,93.4,0.99526,3.42,0.402,11.58,7
8.5,0.407,0.281,1.92,0.123,1.0,34.4,0.99468,3.16,0.59,11.03,5
6.75,0.294,0.36,2.4,0.11,37.4,79.7,0.99502,3.42,0.955,11.25,6
7.58,0.312,0.337,3.27,0.032,18.9,70.2,0.99807,3.24,0.578,9.67,5
7.05,0.579,0.109,2.8,0.118,49.2,61.1,0.99826,3.14,0.856,10.68,5
6.53,0.61,0.608,0.5,0.092,27.1,63.2,0.99393,3.17,0.585,12.02,6
7.79,0.566,0.055,2.07,0.09,42.4,117.5,0.9931,3.22,0.719,9.04,4
8.06,0.494,0.543,2.08,0.124,13.7,147.9,0.99899,3.02,0.728,9.87,5
7.93,0.484,0.0,1.68,0.081,54.0,104.3,0.99569,3.47,0.708,9.82,5
6.45,0.652,0.065,5.47,0.038,36.8,90.2,0.99473,3.36,0.907,9.29,4
9.54,0.441,0.274,1.79,0.057,16.2,58.9,0.99799,3.38,0.759,10.74,6
8.81,0.486,0.132,6.05,0.07,29.0,132.9,0.99643,3.32,0.909,11.37,6
8.52,0.561,0.396,2.8,0.056,18.7,128.0,0.99569,3.27,0.731,10.83,6
8.07,0.473,0.407,2.86,0.071,45.3,80.8,0.99902,3.38,0.643,10.67,5
6.47,0.575,0.452,4.04,0.083,24.2,92.1,0.99777,3.2,0.711,12.36,6
6.91,0.579,0.198,3.17,0.066,28.2,119.4,0.996,3.58,0.526,9.63,4
8.26,0.125,0.415,5.27,0.128,24.9,68.7,0.99673,3.33,0.61,10.4,6
7.24,0.744,0.595,3.78,0.091,22.3,45.3,0.99684,3.38,0.711,12.06,6
6.96,0.868,0.493,3.03,0.066,1.9,59.8,0.99626,3.32,0.709,11.31,5
6.81,0.477,0.07,4.1,0.099,39.4,107.3,0.9981,3.46,0.757,8.6,4
7.15,0.469,0.547,0.5,0.077,26.3,99.3,0.9993,3.22,0.682,13.41,8
7.56,0.619,0.455,1.58,0.089,18.7,82.3,0.99379,3.29,0.874,11.69,6
6.96,0.246,0.202,0.5,0.141,18.4,93.1,0.99957,3.29,0.678,11.38,6
7.2,0.604,0.42,5.98,0.112,40.1,105.7,0.99541,3.2,0.966,9.51,5
7.11,0.441,0.154,2.42,0.09,30.1,116.3,0.99901,3.37,0.608,9.68,5
