CustomerID,Recency,Frequency,Monetary
CUST1000,144,5,4163.99
CUST1001,7,41,1764.54
CUST1002,72,2,11907.55
CUST1003,91,7,6946.34
CUST1004,179,2,7743.23
CUST1005,159,5,6961.99
CUST1006,11,20,20556.31
CUST1007,11,27,15535.35
CUST1008,258,4,1378.5
CUST1009,19,28,2490.35
CUST1010,12,24,1473.88
CUST1011,91,4,9713.37
CUST1012,2,42,1985.36
CUST1013,347,3,800.54
CUST1014,100,7,8164.47
CUST1015,9,22,1479.36
CUST1016,12,46,1825.61
CUST1017,84,2,5552.8
CUST1018,220,4,1335.43
CUST1019,15,32,613.98
CUST1020,330,3,768.56
CUST1021,1,22,2047.57
CUST1022,158,4,216.42
CUST1023,10,37,20353.64
CUST1024,18,33,997.57
CUST1025,130,7,4283.48
CUST1026,169,4,5015.18
CUST1027,3,32,1192.35
CUST1028,3,44,2678.14
CUST1029,73,6,8395.93
CUST1030,6,31,22445.96
CUST1031,7,18,8035.71
CUST1032,8,30,13507.31
CUST1033,89,6,3311.99
CUST1034,306,4,621.29
CUST1035,14,38,2269.82
CUST1036,171,3,1288.28
CUST1037,255,2,648.32
CUST1038,60,7,6176.86
CUST1039,11,33,21403.57
CUST1040,309,2,451.56
CUST1041,12,37,18431.82
CUST1042,2,32,
CUST1043,10,30,20930.53
CUST1044,7,30,13902.83
CUST1045,5,30,14445.1
CUST1046,11,23,19286.48
CUST1047,11,33,1998.54
CUST1048,3,32,2378.27
CUST1049,6,47,2144.67
CUST1050,2,39,2259.15
CUST1051,17,43,1624.19
CUST1052,10,47,1380.68
CUST1053,7,36,537.06
CUST1054,157,6,9374.06
CUST1055,72,6,10461.59
CUST1056,10,28,8084.45
CUST1057,4,16,19671.15
CUST1058,8,17,16288.04
CUST1059,3,33,23585.15
CUST1060,156,1,932.32
CUST1061,329,2,127.74
CUST1062,190,3,425.24
CUST1063,154,6,5964.36
CUST1064,12,35,2544.43
CUST1065,13,31,15607.17
CUST1066,18,20,1217.21
CUST1067,7,16,10745.68
CUST1068,70,2,10910.46
CUST1069,12,36,17935.04
CUST1070,1,15,16896.95
CUST1071,92,4,8323.56
CUST1072,246,3,1209.64
CUST1073,121,7,11716.1
CUST1074,103,6,11752.87
CUST1075,6,21,24166.06
CUST1076,92,3,5697.01
CUST1077,17,33,2183.93
CUST1078,4,35,2074.35
CUST1079,1,20,11695.81
CUST1080,16,48,2009.27
CUST1081,120,7,4727.92
CUST1082,17,33,1783.53
CUST1083,92,5,6098.19
CUST1084,62,5,3945.12
CUST1085,16,39,2878.23
CUST1086,3,31,19762.55
CUST1087,113,6,6826.96
CUST1088,179,3,967.53
CUST1089,7,42,616.98
CUST1090,2,20,9500.86
CUST1091,319,2,796.87
CUST1092,292,3,175.72
CUST1093,19,34,1517.72
CUST1094,256,2,1313.53
CUST1095,238,4,1081.73
CUST1096,286,3,1481.32
CUST1097,1,39,16921.12
CUST1098,99,5,5145.24
CUST1099,2,49,610.52
CUST1100,19,41,1922.05
CUST1101,7,15,14664.7
CUST1102,5,30,12469.05
CUST1103,17,47,1198.72
CUST1104,1,42,1045.71
CUST1105,9,29,17256.02
CUST1106,13,25,20109.95
CUST1107,12,16,12538.49
CUST1108,144,3,4038.86
CUST1109,6,41,1581.55
CUST1110,176,2,10218.28
CUST1111,160,2,5308.74
CUST1112,7,19,8770.63
CUST1113,289,2,1389.89
CUST1114,13,17,8863.15
CUST1115,168,7,4452.39
CUST1116,118,2,6524.41
CUST1117,316,2,671.66
CUST1118,3,37,10058.43
CUST1119,19,45,656.98
CUST1120,3,27,2209.87
CUST1121,1,23,2058.11
CUST1122,14,38,16701.16
CUST1123,12,20,8417.47
CUST1124,2,27,1677.66
CUST1125,2,45,2340.47
CUST1126,2,41,2591.47
CUST1127,10,23,1888.39
CUST1128,93,2,5756.38
CUST1129,6,44,2833.33
CUST1130,7,22,22547.59
CUST1131,151,4,8982.92
CUST1132,4,30,957.29
CUST1133,102,4,3015.09
CUST1134,85,6,9894.05
CUST1135,1,45,1729.4
CUST1136,6,27,11722.95
CUST1137,6,30,1514.18
CUST1138,120,4,3876.56
CUST1139,69,7,8701.73
CUST1140,1,18,22232.51
CUST1141,13,27,2716.1
CUST1142,7,49,2547.69
CUST1143,8,26,1523.79
CUST1144,165,2,9377.74
CUST1145,15,25,2102.36
