Area_sqft,Bedrooms,Bathrooms,Age_years,Location,Price
1707.0,2,2,16,Suburb,221200.0
3137.0,2,2,7,Downtown,454500.0
1984.0,2,2,5,Downtown,312200.0
2664.0,4,4,25,Suburb,325200.0
1699.0,3,2,8,Downtown,280700.0
1755.0,1,1,28,Suburb,234700.0
2291.0,2,2,34,Suburb,293500.0
2337.0,3,2,37,Rural,281500.0
1727.0,3,2,0,Downtown,295300.0
400.0,4,4,21,Suburb,84300.0
1691.0,4,4,23,Uptown,247500.0
2246.0,2,2,20,Downtown,330100.0
1815.0,3,3,44,Downtown,234900.0
2097.0,2,2,27,Suburb,286800.0
1976.0,4,3,42,Downtown,303400.0
867.0,1,1,43,Suburb,100900.0
2374.0,2,1,23,Suburb,301000.0
1423.0,3,2,37,Suburb,199700.0
1474.0,1,1,4,Downtown,241200.0
2184.0,3,2,19,Suburb,300900.0
1324.0,5,5,0,Downtown,270000.0
1970.0,5,5,14,Rural,220100.0
1244.0,2,1,13,Downtown,159400.0
1678.0,3,3,35,Uptown,281200.0
1557.0,3,3,44,Uptown,201500.0
1500.0,2,2,34,Rural,136200.0
1269.0,4,4,27,Suburb,191100.0
1771.0,3,3,22,Downtown,293500.0
1879.0,5,4,16,Suburb,279300.0
2402.0,4,4,15,Downtown,362800.0
1427.0,3,3,25,Downtown,218200.0
,2,2,22,Suburb,228900.0
3235.0,3,2,17,Uptown,428200.0
2055.0,3,3,6,Suburb,303100.0
2114.0,3,3,11,Uptown,326700.0
2082.0,2,2,4,Downtown,291400.0
692.0,4,3,20,Suburb,132800.0
1641.0,3,3,26,Suburb,229900.0
409.0,3,3,41,Rural,50000.0
2360.0,3,3,25,Suburb,310600.0
2905.0,4,3,0,Suburb,391000.0
1456.0,4,3,25,Downtown,265000.0
2946.0,3,2,34,Suburb,332800.0
1071.0,3,2,22,Suburb,158100.0
1025.0,5,5,3,Uptown,207100.0
2159.0,3,3,9,Suburb,355600.0
1270.0,3,2,22,Suburb,174300.0
1477.0,4,4,30,Suburb,206200.0
2506.0,5,4,13,Rural,296300.0
,3,3,33,Rural,145100.0
1617.0,4,4,1,Downtown,304700.0
1724.0,2,1,1,Suburb,268100.0
2046.0,4,4,15,Suburb,297200.0
2276.0,3,2,15,Uptown,336200.0
1733.0,3,3,4,Downtown,258400.0
1021.0,3,3,17,Rural,131300.0
2457.0,4,4,2,Uptown,384000.0
3669.0,1,1,34,Uptown,440100.0
2333.0,2,2,41,Suburb,278600.0
2164.0,3,2,31,Downtown,345000.0
1556.0,4,3,25,Downtown,242700.0
1636.0,3,3,34,Uptown,225600.0
897.0,3,3,23,Downtown,177500.0
2201.0,3,3,6,Downtown,353600.0
1712.0,2,2,3,Downtown,287900.0
2637.0,4,4,17,Uptown,401200.0
1126.0,2,1,19,Suburb,167700.0
2687.0,5,4,41,Suburb,371000.0
1599.0,2,2,4,Downtown,245800.0
1403.0,4,3,14,Downtown,234400.0
1486.0,3,3,23,Suburb,227700.0
1404.0,1,1,31,Downtown,225000.0
,3,3,40,Suburb,115400.0
2216.0,1,1,17,Rural,278700.0
2303.0,2,2,36,Uptown,312200.0
2631.0,4,3,4,Downtown,419500.0
2258.0,1,1,22,Downtown,316600.0
2226.0,4,4,25,Downtown,366000.0
709.0,2,2,22,Suburb,72400.0
1919.0,4,4,18,Downtown,350000.0
1063.0,3,3,0,Uptown,190300.0
1619.0,4,4,27,Uptown,225300.0
2708.0,3,2,34,Downtown,393700.0
1821.0,2,2,35,Suburb,233000.0
400.0,4,3,3,Rural,58600.0
1149.0,2,2,44,Suburb,119400.0
1431.0,2,2,27,Downtown,208900.0
1653.0,4,4,34,Rural,192200.0
2410.0,4,3,20,Suburb,339900.0
2344.0,3,2,18,Suburb,308000.0
2328.0,4,4,24,Uptown,401600.0
1951.0,3,3,13,Suburb,302200.0
1608.0,4,4,23,Rural,187900.0
1565.0,2,1,38,Suburb,178700.0
2081.0,4,3,25,Suburb,271700.0
2407.0,3,3,25,Downtown,362000.0
2809.0,3,3,39,Uptown,358700.0
1861.0,2,2,0,Uptown,311800.0
1992.0,3,2,25,Suburb,229100.0
2766.0,3,3,36,Suburb,352500.0
1094.0,4,4,4,Suburb,192600.0
2334.0,3,3,31,Downtown,327200.0
1288.0,2,1,29,Suburb,148100.0
2836.0,5,5,25,Suburb,335800.0
2714.0,2,2,44,Suburb,333100.0
2869.0,4,4,33,Uptown,383400.0
2802.0,4,3,25,Uptown,399600.0
2346.0,3,3,24,Suburb,327700.0
1135.0,4,4,42,Uptown,164500.0
2122.0,2,2,44,Suburb,255600.0
2382.0,3,2,30,Suburb,301300.0
2110.0,4,4,30,Suburb,314200.0
1726.0,3,3,20,Uptown,238400.0
1902.0,4,4,41,Uptown,214700.0
2052.0,2,2,39,Downtown,284500.0
1133.0,5,5,27,Suburb,211500.0
2241.0,4,4,8,Uptown,363800.0
2161.0,5,5,41,Uptown,320300.0
1714.0,2,1,6,Suburb,265000.0
2234.0,3,3,9,Suburb,320700.0
2556.0,1,1,42,Suburb,288500.0
1139.0,2,1,4,Rural,105000.0
2756.0,4,3,34,Suburb,337800.0
2461.0,3,3,35,Uptown,337700.0
2454.0,1,1,12,Rural,293600.0
2448.0,3,2,14,Downtown,358200.0
2264.0,2,2,4,Suburb,287100.0
1800.0,3,2,17,Downtown,225600.0
1323.0,3,2,37,Suburb,168200.0
2133.0,3,3,12,Uptown,305400.0
1886.0,2,2,29,Downtown,299900.0
1349.0,3,3,22,Downtown,218600.0
2944.0,2,2,4,Downtown,426400.0
2346.0,2,1,12,Rural,282100.0
1598.0,3,3,32,Uptown,227900.0
777.0,4,4,6,Downtown,163900.0
1255.0,2,1,2,Downtown,257000.0
2118.0,1,1,42,Uptown,248200.0
1632.0,4,4,4,Uptown,286200.0
